mysql: [Warning] Using a password on the command line interface can be insecure.
+--------------------------+---------------------------+-----------+-------------+----------------------+
| TABLE_NAME               | COLUMN_NAME               | DATA_TYPE | IS_NULLABLE | COLUMN_DEFAULT       |
+--------------------------+---------------------------+-----------+-------------+----------------------+
| _prisma_migrations       | id                        | varchar   | NO          | NULL                 |
| _prisma_migrations       | checksum                  | varchar   | NO          | NULL                 |
| _prisma_migrations       | finished_at               | datetime  | YES         | NULL                 |
| _prisma_migrations       | migration_name            | varchar   | NO          | NULL                 |
| _prisma_migrations       | logs                      | text      | YES         | NULL                 |
| _prisma_migrations       | rolled_back_at            | datetime  | YES         | NULL                 |
| _prisma_migrations       | started_at                | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| _prisma_migrations       | applied_steps_count       | int       | NO          | 0                    |
| account_roles            | id                        | varchar   | NO          | NULL                 |
| account_roles            | accountId                 | varchar   | NO          | NULL                 |
| account_roles            | roleId                    | varchar   | NO          | NULL                 |
| account_roles            | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| accounts                 | id                        | varchar   | NO          | NULL                 |
| accounts                 | name                      | varchar   | NO          | NULL                 |
| accounts                 | operator                  | varchar   | NO          | NULL                 |
| accounts                 | password                  | varchar   | NO          | NULL                 |
| accounts                 | status                    | enum      | NO          | ACTIVE               |
| accounts                 | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| accounts                 | updatedAt                 | datetime  | NO          | NULL                 |
| approval_records         | id                        | varchar   | NO          | NULL                 |
| approval_records         | entityType                | enum      | NO          | NULL                 |
| approval_records         | entityId                  | varchar   | NO          | NULL                 |
| approval_records         | entityNumber              | varchar   | NO          | NULL                 |
| approval_records         | approverId                | varchar   | NO          | NULL                 |
| approval_records         | fromStatus                | varchar   | NO          | NULL                 |
| approval_records         | toStatus                  | varchar   | NO          | NULL                 |
| approval_records         | reason                    | varchar   | NO          | NULL                 |
| approval_records         | remark                    | varchar   | YES         | NULL                 |
| approval_records         | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| export_records           | id                        | varchar   | NO          | NULL                 |
| export_records           | taskId                    | varchar   | NO          | NULL                 |
| export_records           | type                      | varchar   | NO          | NULL                 |
| export_records           | status                    | enum      | NO          | PENDING              |
| export_records           | filename                  | varchar   | YES         | NULL                 |
| export_records           | downloadUrl               | varchar   | YES         | NULL                 |
| export_records           | operatorAccountId         | varchar   | NO          | NULL                 |
| export_records           | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| export_records           | updatedAt                 | datetime  | NO          | NULL                 |
| financial_reports        | id                        | varchar   | NO          | NULL                 |
| financial_reports        | shopId                    | varchar   | NO          | NULL                 |
| financial_reports        | reportMonth               | varchar   | NO          | NULL                 |
| financial_reports        | details                   | json      | YES         | NULL                 |
| financial_reports        | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| financial_reports        | updatedAt                 | datetime  | NO          | NULL                 |
| finished_inventory       | id                        | varchar   | NO          | NULL                 |
| finished_inventory       | shopId                    | varchar   | NO          | NULL                 |
| finished_inventory       | categoryId                | varchar   | NO          | NULL                 |
| finished_inventory       | productId                 | varchar   | NO          | NULL                 |
| finished_inventory       | boxSize                   | varchar   | YES         | NULL                 |
| finished_inventory       | packQuantity              | int       | NO          | 1                    |
| finished_inventory       | weight                    | decimal   | YES         | NULL                 |
| finished_inventory       | location                  | varchar   | YES         | NULL                 |
| finished_inventory       | stockQuantity             | int       | NO          | 0                    |
| finished_inventory       | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| finished_inventory       | updatedAt                 | datetime  | NO          | NULL                 |
| forwarders               | id                        | varchar   | NO          | NULL                 |
| forwarders               | avatarUrl                 | varchar   | YES         | NULL                 |
| forwarders               | nickname                  | varchar   | NO          | NULL                 |
| forwarders               | contactPerson             | varchar   | NO          | NULL                 |
| forwarders               | contactPhone              | varchar   | NO          | NULL                 |
| forwarders               | companyName               | varchar   | NO          | NULL                 |
| forwarders               | creditCode                | varchar   | YES         | NULL                 |
| forwarders               | bankName                  | varchar   | YES         | NULL                 |
| forwarders               | bankAccount               | varchar   | YES         | NULL                 |
| forwarders               | bankAddress               | varchar   | YES         | NULL                 |
| forwarders               | remark                    | varchar   | YES         | NULL                 |
| forwarders               | operatorId                | varchar   | NO          | NULL                 |
| forwarders               | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| forwarders               | updatedAt                 | datetime  | NO          | NULL                 |
| logs                     | id                        | varchar   | NO          | NULL                 |
| logs                     | category                  | varchar   | NO          | NULL                 |
| logs                     | module                    | varchar   | NO          | NULL                 |
| logs                     | operation                 | varchar   | NO          | NULL                 |
| logs                     | operatorAccountId         | varchar   | YES         | NULL                 |
| logs                     | status                    | varchar   | NO          | SUCCESS              |
| logs                     | details                   | json      | YES         | NULL                 |
| logs                     | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| permissions              | id                        | varchar   | NO          | NULL                 |
| permissions              | name                      | varchar   | NO          | NULL                 |
| permissions              | code                      | varchar   | NO          | NULL                 |
| permissions              | category                  | varchar   | NO          | NULL                 |
| permissions              | description               | varchar   | YES         | NULL                 |
| permissions              | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| permissions              | updatedAt                 | datetime  | NO          | NULL                 |
| product_categories       | id                        | varchar   | NO          | NULL                 |
| product_categories       | name                      | varchar   | NO          | NULL                 |
| product_categories       | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| product_categories       | updatedAt                 | datetime  | NO          | NULL                 |
| product_images           | id                        | varchar   | NO          | NULL                 |
| product_images           | productId                 | varchar   | NO          | NULL                 |
| product_images           | imageUrl                  | varchar   | NO          | NULL                 |
| product_images           | fileName                  | varchar   | NO          | NULL                 |
| product_images           | fileSize                  | int       | NO          | NULL                 |
| product_images           | sortOrder                 | int       | NO          | NULL                 |
| product_images           | isCover                   | tinyint   | NO          | 0                    |
| product_images           | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| product_images           | updatedAt                 | datetime  | NO          | NULL                 |
| product_info             | id                        | varchar   | NO          | NULL                 |
| product_info             | shopId                    | varchar   | NO          | NULL                 |
| product_info             | categoryId                | varchar   | NO          | NULL                 |
| product_info             | code                      | varchar   | YES         | NULL                 |
| product_info             | specification             | varchar   | YES         | NULL                 |
| product_info             | color                     | varchar   | YES         | NULL                 |
| product_info             | setQuantity               | int       | NO          | 1                    |
| product_info             | internalSize              | varchar   | YES         | NULL                 |
| product_info             | externalSize              | varchar   | YES         | NULL                 |
| product_info             | weight                    | decimal   | YES         | NULL                 |
| product_info             | sku                       | varchar   | YES         | NULL                 |
| product_info             | label                     | varchar   | YES         | NULL                 |
| product_info             | codeFileUrl               | varchar   | YES         | NULL                 |
| product_info             | styleInfo                 | text      | YES         | NULL                 |
| product_info             | accessoryInfo             | text      | YES         | NULL                 |
| product_info             | remark                    | varchar   | YES         | NULL                 |
| product_info             | operatorId                | varchar   | NO          | NULL                 |
| product_info             | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| product_info             | updatedAt                 | datetime  | NO          | NULL                 |
| product_info             | asin                      | varchar   | YES         | NULL                 |
| product_items            | id                        | varchar   | NO          | NULL                 |
| product_items            | relatedType               | varchar   | NO          | NULL                 |
| product_items            | relatedId                 | varchar   | NO          | NULL                 |
| product_items            | productId                 | varchar   | NO          | NULL                 |
| product_items            | quantity                  | int       | NO          | NULL                 |
| product_items            | unitPrice                 | decimal   | YES         | NULL                 |
| product_items            | amount                    | decimal   | YES         | NULL                 |
| product_items            | taxRate                   | decimal   | YES         | NULL                 |
| product_items            | taxAmount                 | decimal   | YES         | NULL                 |
| product_items            | totalAmount               | decimal   | YES         | NULL                 |
| product_items            | completedQuantity         | int       | YES         | NULL                 |
| product_items            | remark                    | varchar   | YES         | NULL                 |
| product_items            | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| product_items            | updatedAt                 | datetime  | NO          | NULL                 |
| purchase_orders          | id                        | varchar   | NO          | NULL                 |
| purchase_orders          | orderNumber               | varchar   | NO          | NULL                 |
| purchase_orders          | shopId                    | varchar   | NO          | NULL                 |
| purchase_orders          | supplierId                | varchar   | NO          | NULL                 |
| purchase_orders          | totalAmount               | decimal   | NO          | NULL                 |
| purchase_orders          | discountRate              | decimal   | YES         | NULL                 |
| purchase_orders          | discountAmount            | decimal   | YES         | NULL                 |
| purchase_orders          | finalAmount               | decimal   | NO          | NULL                 |
| purchase_orders          | status                    | enum      | NO          | CREATED              |
| purchase_orders          | urgent                    | tinyint   | NO          | 0                    |
| purchase_orders          | remark                    | varchar   | YES         | NULL                 |
| purchase_orders          | operatorId                | varchar   | NO          | NULL                 |
| purchase_orders          | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| purchase_orders          | updatedAt                 | datetime  | NO          | NULL                 |
| role_permissions         | id                        | varchar   | NO          | NULL                 |
| role_permissions         | roleId                    | varchar   | NO          | NULL                 |
| role_permissions         | permissionId              | varchar   | NO          | NULL                 |
| role_permissions         | createdAt                 | datetime  | NO          | CURRENT_TIMESTAMP(3) |
| roles                    | id                        | varchar   | NO          | NULL                 |
| roles                    | name                      | varchar   | NO          | NULL                 |
| roles                    | status                    | enum      | NO          | ACTIVE               |
| roles                    | operator                  | varchar   | NO          | NULL                 |
